"format","prime","debt","profitability"
"integrated note",0.5,3,3
"integrated note",1.5,4,2
"integrated note",0.5,1,2
"integrated note",0.25,4,5
"integrated note",1.5,3,2
"integrated note",1.25,3,2
"integrated note",2,3,2
"integrated note",0.5,5,3
"integrated note",1.5,2,2
"integrated note",0.5,2,3
"integrated note",0.25,4,5
"integrated note",2.5,2,2
"integrated note",0.5,3,2
"integrated note",1.5,2,3
"integrated note",1.25,5,5
"integrated note",1.75,2,2
"integrated note",0.25,3,3
"integrated note",2,2,2
"integrated note",1.5,2,3
"integrated note",0.25,3,3
"integrated note",0.25,4,3
"integrated note",1,3,2
"integrated note",0.5,3,2
"integrated note",2,2,2
"integrated note",1,4,3
"integrated note",1.25,2,3
"integrated note",1.5,2,2
"integrated note",1.75,2,2
"integrated note",1,4,4
"integrated note",1.5,2,2
"integrated note",0.5,5,5
"integrated note",2,1,2
"integrated note",2.25,3,2
"integrated note",2,4,3
"integrated note",0.5,4,3
"integrated note",1,5,4
"integrated note",0.25,2,2
"integrated note",1.75,3,3
"integrated note",2,3,2
"integrated note",1.5,2,2
"stand-alone note",2,2,2
"stand-alone note",1.5,4,2
"stand-alone note",1.25,3,2
"stand-alone note",0.5,3,3
"stand-alone note",0.5,3,3
"stand-alone note",2.25,1,2
"stand-alone note",1.25,3,2
"stand-alone note",0.25,4,3
"stand-alone note",0.25,5,5
"stand-alone note",0.25,4,2
"stand-alone note",1.75,1,2
"stand-alone note",1.5,2,2
"stand-alone note",0.25,3,3
"stand-alone note",1.5,2,3
"stand-alone note",1.75,3,2
"stand-alone note",1.25,3,3
"stand-alone note",3,1,2
"stand-alone note",1.5,4,3
"stand-alone note",0.25,4,3
"stand-alone note",0.5,2,2
"stand-alone note",3.25,2,1
"stand-alone note",3.25,2,2
"stand-alone note",0.25,3,5
"stand-alone note",2,3,3
"stand-alone note",1.5,3,3
"stand-alone note",1.5,4,3
"stand-alone note",1.5,2,3
"stand-alone note",3,1,2
"stand-alone note",1.5,3,3
"stand-alone note",1,2,2
"stand-alone note",0.25,4,4
"stand-alone note",0.25,4,3
"stand-alone note",0.25,4,4
"stand-alone note",3,1,2
"stand-alone note",1.75,2,2
"stand-alone note",0.25,2,2
"stand-alone note",1.5,2,2
"stand-alone note",0.5,2,2
"stand-alone note",2.5,3,2
"stand-alone note",0.5,3,2
"stand-alone note",0.5,2,2
"stand-alone note",0.5,4,3
"stand-alone note",0.5,4,3
"stand-alone note",0.25,3,3
"stand-alone note",2.5,5,3
"modified auditor report",1.75,1,2
"modified auditor report",1,3,3
"modified auditor report",1,5,3
"modified auditor report",1,2,2
"modified auditor report",0.5,4,3
"modified auditor report",0.5,2,3
"modified auditor report",0.25,2,3
"modified auditor report",1.75,2,2
"modified auditor report",1.5,1,2
"modified auditor report",2.25,3,2
"modified auditor report",1,2,2
"modified auditor report",1.25,4,3
"modified auditor report",0.5,4,3
"modified auditor report",2.25,2,2
"modified auditor report",0.5,4,4
"modified auditor report",1.5,3,2
"modified auditor report",3.25,4,2
"modified auditor report",1.25,3,2
"modified auditor report",1,2,2
"modified auditor report",0.25,4,3
"modified auditor report",0.5,4,3
"modified auditor report",1.5,2,2
"modified auditor report",1,3,3
"modified auditor report",2,3,3
"modified auditor report",2.75,1,1
"modified auditor report",2.25,1,1
"modified auditor report",2,1,1
"modified auditor report",2,2,2
"modified auditor report",1.5,4,3
"modified auditor report",2,4,2
"modified auditor report",0.25,4,4
"modified auditor report",0.25,4,3
"modified auditor report",1.25,3,3
"modified auditor report",2.5,4,2
"modified auditor report",2.25,2,2
"modified auditor report",1.5,3,3
"modified auditor report",3,3,2
"modified auditor report",1,5,4
"modified auditor report",0.25,4,3
"modified auditor report",1,2,2
"modified auditor report",1.75,4,3
"modified auditor report",1,3,3
"modified auditor report",0.25,4,4
"modified auditor report",2.5,2,2
"modified auditor report",1,1,2
"modified auditor report",2,3,1
"modified auditor report",2,2,2
