"id","anchor","vignette","verdictsyst","guilt","pjaq"
"1","strong-first","1","two",103.55,67
"2","strong-first","1","two",81.8,101
"3","strong-first","1","two",87.85,65
"4","strong-first","1","two",82.7,60
"5","strong-first","1","two",76.75,75
"6","strong-first","1","two",96.15,73
"7","strong-first","1","two",66.05,66
"8","strong-first","1","two",96.45,86
"9","strong-first","1","three",79.95,59
"10","strong-first","1","three",91.1,93
"11","strong-first","1","three",80.35,59
"12","strong-first","1","three",114.15,90
"13","strong-first","1","three",27.15,61
"14","strong-first","1","three",90.5,69
"15","strong-first","1","three",11.35,54
"16","strong-first","1","three",100.65,85
"17","weak-first","1","two",98.8,87
"18","weak-first","1","two",114.55,89
"19","weak-first","1","two",114.15,82
"20","weak-first","1","two",100.85,65
"21","weak-first","1","two",76.9,73
"22","weak-first","1","two",102.65,79
"23","weak-first","1","two",78.7,72
"24","weak-first","1","two",117.2,65
"25","weak-first","1","three",108.8,82
"26","weak-first","1","three",96.85,85
"27","weak-first","1","three",121.2,80
"28","weak-first","1","three",47.3,76
"29","weak-first","1","three",75.4,86
"30","weak-first","1","three",80.55,72
"31","weak-first","1","three",134.5,79
"32","weak-first","1","three",105.9,78
"33","strong-first","1","two",114.65,88
"34","strong-first","1","two",108,77
"35","strong-first","1","two",90.83,74
"36","strong-first","1","two",84.3,70
"37","strong-first","1","two",42.55,58
"38","strong-first","1","two",100.25,54
"39","strong-first","1","two",92.1,68
"40","strong-first","1","two",95.2,90
"41","strong-first","1","three",114.25,73
"42","strong-first","1","three",84.7,92
"43","strong-first","1","three",99.6,69
"44","strong-first","1","three",86.35,67
"45","strong-first","1","three",67.4,86
"46","strong-first","1","three",35.46,73
"47","strong-first","1","three",88.9,90
"48","strong-first","1","three",85.05,68
"49","weak-first","1","two",118.15,74
"50","weak-first","1","two",109.05,81
"51","weak-first","1","two",85.5,76
"52","weak-first","1","two",92.75,66
"53","weak-first","1","two",80.85,84
"54","weak-first","1","two",134.05,85
"55","weak-first","1","two",96.4,78
"56","weak-first","1","two",123.8,74
"57","weak-first","1","three",110.15,68
"58","weak-first","1","three",84.3,76
"59","weak-first","1","three",39.7,58
"60","weak-first","1","three",43.05,55
"61","weak-first","1","three",101.75,86
"62","weak-first","1","three",84.65,65
"63","weak-first","1","three",66.25,77
"64","weak-first","1","three",133.2,84
"65","weak-first","2","two",84.9,82
"66","weak-first","2","two",76,83
"67","weak-first","2","two",56.75,77
"68","weak-first","2","two",96.2,67
"69","weak-first","2","two",110.65,84
"70","weak-first","2","two",97.5,66
"71","weak-first","2","two",132.4,78
"72","weak-first","2","two",95.79,74
"73","weak-first","2","three",100.4,92
"74","weak-first","2","three",82.25,88
"75","weak-first","2","three",52.95,73
"76","weak-first","2","three",79.1,78
"77","weak-first","2","three",94.15,69
"78","weak-first","2","three",82.05,82
"79","weak-first","2","three",61.65,76
"80","weak-first","2","three",95.25,81
"81","strong-first","2","two",73.4,85
"82","strong-first","2","two",85.3,80
"83","strong-first","2","two",81.95,83
"84","strong-first","2","two",77.3,62
"85","strong-first","2","two",106.85,77
"86","strong-first","2","two",113.35,89
"87","strong-first","2","two",84.75,76
"88","strong-first","2","two",104.05,72
"89","strong-first","2","three",73,75
"90","strong-first","2","three",75.52,67
"91","strong-first","2","three",35.55,72
"92","strong-first","2","three",105.7,58
"93","strong-first","2","three",134.05,84
"94","strong-first","2","three",52.45,87
"95","strong-first","2","three",83.55,83
"96","strong-first","2","three",35.9,72
"97","weak-first","2","two",81.35,66
"98","weak-first","2","two",6.75,62
"99","weak-first","2","two",72.6,72
"100","weak-first","2","two",59.55,76
"101","weak-first","2","two",84.25,72
"102","weak-first","2","two",73.9,74
"103","weak-first","2","two",86.25,71
"104","weak-first","2","two",110.45,93
"105","weak-first","2","three",51.35,80
"106","weak-first","2","three",55.25,88
"107","weak-first","2","three",42.6,78
"108","weak-first","2","three",75.45,83
"109","weak-first","2","three",119.2,93
"110","weak-first","2","three",99.4,89
"111","weak-first","2","three",69.55,85
"112","weak-first","2","three",95.95,81
"113","strong-first","2","two",32,56
"114","strong-first","2","two",63.45,71
"115","strong-first","2","two",128.7,78
"116","strong-first","2","two",111.4,84
"117","strong-first","2","two",33.25,80
"118","strong-first","2","two",119.7,76
"119","strong-first","2","two",73.9,93
"120","strong-first","2","two",64,76
"121","strong-first","2","three",93.6,74
"122","strong-first","2","three",86.95,88
"123","strong-first","2","three",48.55,75
"124","strong-first","2","three",50.3,70
"125","strong-first","2","three",71.95,67
"126","strong-first","2","three",80.2,90
"127","strong-first","2","three",58.05,79
"128","strong-first","2","three",78.45,77
"1","weak-first","1","three",87.7,67
"2","weak-first","1","three",80.15,101
"3","weak-first","1","three",97.4,65
"4","weak-first","1","three",83.75,60
"5","weak-first","1","three",76.95,75
"6","weak-first","1","three",99.4,73
"7","weak-first","1","three",78.7,66
"8","weak-first","1","three",109.15,86
"9","weak-first","1","two",86.05,59
"10","weak-first","1","two",115.1,93
"11","weak-first","1","two",81.35,59
"12","weak-first","1","two",95.95,90
"13","weak-first","1","two",37.9,61
"14","weak-first","1","two",79.7,69
"15","weak-first","1","two",7.45,54
"16","weak-first","1","two",89.4,85
"17","strong-first","1","three",78.75,87
"18","strong-first","1","three",89.95,89
"19","strong-first","1","three",55.55,82
"20","strong-first","1","three",93.2,65
"21","strong-first","1","three",83.25,73
"22","strong-first","1","three",108.35,79
"23","strong-first","1","three",76.45,72
"24","strong-first","1","three",97,65
"25","strong-first","1","two",94.2,82
"26","strong-first","1","two",86,85
"27","strong-first","1","two",81.45,80
"28","strong-first","1","two",70,76
"29","strong-first","1","two",68.6,86
"30","strong-first","1","two",55.8,72
"31","strong-first","1","two",103.25,79
"32","strong-first","1","two",77,78
"33","weak-first","1","three",104.3,88
"34","weak-first","1","three",92.45,77
"35","weak-first","1","three",85.85,74
"36","weak-first","1","three",87.6,70
"37","weak-first","1","three",44.8,58
"38","weak-first","1","three",81.45,54
"39","weak-first","1","three",61.7,68
"40","weak-first","1","three",86.35,90
"41","weak-first","1","two",84.45,73
"42","weak-first","1","two",95.7,92
"43","weak-first","1","two",74.1,69
"44","weak-first","1","two",69.05,67
"45","weak-first","1","two",36.85,86
"46","weak-first","1","two",38.4,73
"47","weak-first","1","two",89.95,90
"48","weak-first","1","two",94.1,68
"49","strong-first","1","three",80.2,74
"50","strong-first","1","three",87.6,81
"51","strong-first","1","three",61.65,76
"52","strong-first","1","three",81.2,66
"53","strong-first","1","three",65.9,84
"54","strong-first","1","three",97,85
"55","strong-first","1","three",52.05,78
"56","strong-first","1","three",102.6,74
"57","strong-first","1","two",89.3,68
"58","strong-first","1","two",75.75,76
"59","strong-first","1","two",14.4,58
"60","strong-first","1","two",36.25,55
"61","strong-first","1","two",67.4,86
"62","strong-first","1","two",80.2,65
"63","strong-first","1","two",65.3,77
"64","strong-first","1","two",68.15,84
"65","strong-first","2","three",115.15,82
"66","strong-first","2","three",97.35,83
"67","strong-first","2","three",93.15,77
"68","strong-first","2","three",66.1,67
"69","strong-first","2","three",88.05,84
"70","strong-first","2","three",83.5,66
"71","strong-first","2","three",116.4,78
"72","strong-first","2","three",128.65,74
"73","strong-first","2","two",87.95,92
"74","strong-first","2","two",53.7,88
"75","strong-first","2","two",79.85,73
"76","strong-first","2","two",67.35,78
"77","strong-first","2","two",83.55,69
"78","strong-first","2","two",140.4,82
"79","strong-first","2","two",79.25,76
"80","strong-first","2","two",92.35,81
"81","weak-first","2","three",99.8,85
"82","weak-first","2","three",94.95,80
"83","weak-first","2","three",92.8,83
"84","weak-first","2","three",88.75,62
"85","weak-first","2","three",93.5,77
"86","weak-first","2","three",98.55,89
"87","weak-first","2","three",71.3,76
"88","weak-first","2","three",96.8,72
"89","weak-first","2","two",90.58,75
"90","weak-first","2","two",78.9,67
"91","weak-first","2","two",62.35,72
"92","weak-first","2","two",112.7,58
"93","weak-first","2","two",125.95,84
"94","weak-first","2","two",49.1,87
"95","weak-first","2","two",64.45,83
"96","weak-first","2","two",72.3,72
"97","strong-first","2","three",62,66
"98","strong-first","2","three",8.1,62
"99","strong-first","2","three",30,72
"100","strong-first","2","three",89,76
"101","strong-first","2","three",67.4,72
"102","strong-first","2","three",24.95,74
"103","strong-first","2","three",71.75,71
"104","strong-first","2","three",106.45,93
"105","strong-first","2","two",80.7,80
"106","strong-first","2","two",76.65,88
"107","strong-first","2","two",41.75,78
"108","strong-first","2","two",63.45,83
"109","strong-first","2","two",107.85,93
"110","strong-first","2","two",57.65,89
"111","strong-first","2","two",75.75,85
"112","strong-first","2","two",80.1,81
"113","weak-first","2","three",32.35,56
"114","weak-first","2","three",74.95,71
"115","weak-first","2","three",102.3,78
"116","weak-first","2","three",113.05,84
"117","weak-first","2","three",64.9,80
"118","weak-first","2","three",99.5,76
"119","weak-first","2","three",58.4,93
"120","weak-first","2","three",26.55,76
"121","weak-first","2","two",83.2,74
"122","weak-first","2","two",101.5,88
"123","weak-first","2","two",63.3,75
"124","weak-first","2","two",64.4,70
"125","weak-first","2","two",103.85,67
"126","weak-first","2","two",95.25,90
"127","weak-first","2","two",43.85,79
"128","weak-first","2","two",80.4,77
