"id","waiting","ratingtype","imscore"
"1","short","prediction",2.33333333333333
"1","short","experience",3.33333333333333
"2","long","prediction",1.25
"2","long","experience",1.91666666666667
"3","long","prediction",1
"3","long","experience",1.41666666666667
"4","short","prediction",1.58333333333333
"4","short","experience",3.91666666666667
"5","long","prediction",3.75
"5","long","experience",1.91666666666667
"6","long","prediction",2.08333333333333
"6","long","experience",2.41666666666667
"7","short","prediction",1.91666666666667
"7","short","experience",4.58333333333333
"8","long","prediction",2.83333333333333
"8","long","experience",3.33333333333333
"9","long","prediction",2.08333333333333
"9","long","experience",5.25
"10","long","prediction",1
"10","long","experience",1.16666666666667
"11","short","prediction",2
"11","short","experience",4.5
"12","short","prediction",4.66666666666667
"12","short","experience",6.16666666666667
"13","long","prediction",4.25
"13","long","experience",5.5
"14","short","prediction",4.33333333333333
"14","short","experience",4.25
"15","short","prediction",4
"15","short","experience",4.16666666666667
"16","long","prediction",1.91666666666667
"16","long","experience",5.41666666666667
"17","short","prediction",4.66666666666667
"17","short","experience",4.41666666666667
"18","short","prediction",4.08333333333333
"18","short","experience",6.41666666666667
"19","long","prediction",3.33333333333333
"19","long","experience",5.58333333333333
"20","long","prediction",3.33333333333333
"20","long","experience",6.08333333333333
"21","short","prediction",1.91666666666667
"21","short","experience",3
"22","short","prediction",4.16666666666667
"22","short","experience",4.33333333333333
"23","long","prediction",1.41666666666667
"23","long","experience",4.75
"24","short","prediction",3
"24","short","experience",5.5
"25","long","prediction",1.91666666666667
"25","long","experience",3.33333333333333
"26","short","prediction",2.41666666666667
"26","short","experience",3.91666666666667
"27","long","prediction",2
"27","long","experience",2.91666666666667
"28","short","prediction",2.83333333333333
"28","short","experience",4.33333333333333
"29","long","prediction",4.16666666666667
"29","long","experience",5.16666666666667
"30","long","prediction",1.08333333333333
"30","long","experience",2.83333333333333
"31","long","prediction",1
"31","long","experience",1.5
"32","long","prediction",1.66666666666667
"32","long","experience",3.41666666666667
"33","long","prediction",2.25
"33","long","experience",1.41666666666667
"34","long","prediction",1.41666666666667
"34","long","experience",1.41666666666667
"35","short","prediction",3.25
"35","short","experience",3.33333333333333
"36","long","prediction",4
"36","long","experience",2.08333333333333
"37","short","prediction",2.58333333333333
"37","short","experience",3.91666666666667
"38","long","prediction",2.75
"38","long","experience",2.5
"39","short","prediction",2.91666666666667
"39","short","experience",4
"40","long","prediction",2.41666666666667
"40","long","experience",3
"41","short","prediction",3.25
"41","short","experience",4.5
"42","long","prediction",3
"42","long","experience",5.91666666666667
"43","short","prediction",2.91666666666667
"43","short","experience",2.5
"44","short","prediction",5.5
"44","short","experience",6
"45","long","prediction",2
"45","long","experience",2.33333333333333
"46","short","prediction",4.16666666666667
"46","short","experience",4.5
"47","short","prediction",2.25
"47","short","experience",2.83333333333333
"48","short","prediction",4.5
"48","short","experience",5.16666666666667
"49","short","prediction",3.16666666666667
"49","short","experience",4.66666666666667
"50","long","prediction",1
"50","long","experience",1
"51","short","prediction",4.58333333333333
"51","short","experience",4.66666666666667
"52","short","prediction",3.5
"52","short","experience",3.66666666666667
"53","long","prediction",1
"53","long","experience",1.25
"54","short","prediction",2.66666666666667
"54","short","experience",3.08333333333333
"55","short","prediction",3.25
"55","short","experience",3.5
"56","short","prediction",1.5
"56","short","experience",2.91666666666667
"57","short","prediction",2.91666666666667
"57","short","experience",3.08333333333333
"58","long","prediction",3.08333333333333
"58","long","experience",6.16666666666667
"59","long","prediction",1.16666666666667
"59","long","experience",1.25
"60","long","prediction",3.33333333333333
"60","long","experience",3.5
"61","short","prediction",1.16666666666667
"61","short","experience",2.58333333333333
"62","long","prediction",1
"62","long","experience",1
"63","long","prediction",3.83333333333333
"63","long","experience",3.58333333333333
