"appreciation","role","form","gender","age"
7,"responder","text","female",25
6,"responder","other","female",34
7,"responder","phone","female",26
4.25,"responder","text","male",20
5.25,"responder","phone","male",22
5.25,"responder","email","male",26
6.75,"responder","phone","female",27
7,"responder","text","female",26
6,"responder","text","female",24
5.25,"responder","text","female",23
4,"responder","text","male",27
5.25,"responder","text","male",27
7,"responder","text","male",32
6,"responder","text","male",45
4.75,"responder","text","male",25
7,"responder","text","female",44
6.25,"responder","phone","male",36
6,"responder","phone","male",28
5.25,"responder","text","female",32
7,"responder","text","male",28
5.25,"responder","text","male",49
7,"responder","text","female",34
7,"responder","text","male",26
5,"responder","text","female",24
3.75,"responder","text","female",31
6,"responder","text","female",42
1.75,"responder","other","male",44
5.25,"responder","text","male",26
7,"responder","text","female",56
1.75,"responder","text","male",19
6.25,"responder","text","female",31
6,"responder","phone","female",31
4.25,"responder","email","male",38
7,"responder","text","female",41
5.75,"responder","text","male",46
7,"responder","text","male",21
6,"responder","text","female",50
6.5,"responder","other","male",40
4.5,"responder","email","male",60
6,"responder","text","male",36
5.5,"responder","text","male",34
7,"responder","email","female",54
5.75,"responder","phone","male",65
4.25,"responder","text","female",38
7,"responder","text","male",20
5,"responder","phone","male",78
6.25,"responder","text","female",31
6.5,"responder","text","male",35
6.5,"responder","text","female",23
7,"responder","text","female",50
5.5,"responder","text","male",18
7,"responder","other","other",30
4.5,"responder","text","female",34
7,"responder","text","male",34
7,"responder","phone","male",37
7,"responder","text","male",33
6,"responder","phone","male",48
5,"responder","phone","male",32
7,"responder","phone","female",29
7,"responder","text","female",27
6.75,"responder","text","male",19
7,"responder","text","female",21
4.75,"responder","text","female",19
7,"responder","text","female",40
4.5,"responder","other","female",36
6,"responder","text","male",28
7,"responder","text","male",28
5.75,"responder","text","male",26
7,"responder","text","male",18
7,"responder","other","female",62
7,"responder","text","male",34
7,"responder","phone","male",25
6.25,"responder","text","female",27
4.5,"responder","email","male",35
3,"responder","text","male",29
6,"responder","text","male",30
6,"responder","text","female",28
4.75,"responder","text","male",33
7,"responder","other","female",58
5.25,"responder","text","male",26
7,"responder","phone","male",45
6.5,"responder","phone","male",29
6.5,"responder","text","male",40
6,"responder","text","male",30
6,"responder","text","male",18
5.25,"responder","text","female",31
2.5,"responder","text","male",20
7,"responder","text","male",33
7,"responder","text","female",25
7,"responder","text","male",35
7,"responder","phone","male",32
4,"responder","email","male",35
7,"responder","text","female",35
7,"responder","text","female",46
2,"responder","text","female",27
5.25,"responder","text","male",19
5.5,"responder","text","female",43
1,"initiator","email","female",68
3.25,"initiator","text","female",19
1.25,"initiator","text","female",33
3,"initiator","text","male",19
2.75,"initiator","other","female",32
2.5,"initiator","text","male",26
3.5,"initiator","text","other",29
3,"initiator","text","male",22
4,"initiator","other","male",44
4.25,"initiator","text","male",22
5.25,"initiator","phone","male",26
4.75,"initiator","phone","female",22
4,"initiator","email","female",31
4.25,"initiator","text","female",33
4,"initiator","phone","male",41
4,"initiator","text","male",33
4.25,"initiator","text","female",40
4.75,"initiator","text","female",36
5.25,"initiator","text","female",20
4.75,"initiator","text","female",27
5,"initiator","other","female",34
5.75,"initiator","text","male",29
5,"initiator","text","male",28
5,"initiator","text","male",37
5,"initiator","text","male",35
5,"initiator","text","male",22
5,"initiator","text","male",31
5,"initiator","email","male",40
5.25,"initiator","text","female",24
4.5,"initiator","phone","male",30
5.75,"initiator","text","female",43
5,"initiator","text","male",21
4.75,"initiator","text","male",26
5,"initiator","text","male",22
5,"initiator","text","male",47
5.25,"initiator","phone","male",52
4.5,"initiator","phone","male",47
5,"initiator","text","female",32
3.5,"initiator","other","other",24
5,"initiator","email","male",25
4.75,"initiator","text","male",20
5,"initiator","text","female",24
5,"initiator","text","male",21
4.75,"initiator","text","female",48
4.5,"initiator","text","male",55
5.5,"initiator","text","male",33
5,"initiator","text","female",31
6.25,"initiator","text","female",67
6,"initiator","text","female",56
6.25,"initiator","other","female",47
6,"initiator","phone","male",21
6,"initiator","text","female",23
5.5,"initiator","text","male",26
6.5,"initiator","phone","male",30
6,"initiator","text","female",37
6,"initiator","text","female",24
6,"initiator","text","female",31
6,"initiator","text","female",26
6.5,"initiator","text","male",20
5.5,"initiator","text","male",25
6.75,"initiator","text","male",27
6,"initiator","text","female",30
6,"initiator","text","male",18
5.75,"initiator","text","male",27
6,"initiator","phone","male",32
6,"initiator","text","male",59
5.25,"initiator","text","female",25
6,"initiator","text","female",21
6,"initiator","text","female",41
6,"initiator","text","male",30
6,"initiator","text","female",21
5.5,"initiator","text","male",26
5.5,"initiator","text","male",30
6,"initiator","text","female",40
7,"initiator","text","female",20
7,"initiator","text","female",63
5,"initiator","phone","female",33
6,"initiator","phone","female",38
7,"initiator","text","male",32
7,"initiator","other","female",40
7,"initiator","text","female",67
6.25,"initiator","email","female",62
7,"initiator","other","female",19
7,"initiator","text","male",18
7,"initiator","text","male",33
7,"initiator","email","female",50
7,"initiator","phone","male",36
6.75,"initiator","other","male",34
7,"initiator","phone","female",46
7,"initiator","text","male",39
7,"initiator","text","female",53
7,"initiator","phone","female",47
7,"initiator","text","male",35
7,"initiator","text","female",29
6.5,"initiator","text","female",32
6.5,"initiator","text","female",63
7,"initiator","phone","male",52
6.25,"initiator","other","female",47
7,"initiator","text","male",37
7,"initiator","text","female",32
7,"initiator","text","female",62
7,"initiator","text","female",26
7,"initiator","phone","female",58
