info2	info3	att1	att2	att3	familiarity	Gender	Age	cond	image
6	6	8	8	8	7	1	48	6price + 1	0
2	2	6	6	9	5	1	37	6price + 1	0
7	7	7	7	9	4	0	47	6price + 1	0
5	5	7	7	7	5	1	41	6price + 1	0
5	4	4	2	7	1	0	32	6+6	1
6	4	8	7	8	5	1	23	6+6	1
7	7	5	6	7	6	1	25	6+6	1
7	7	6	6	9	5	0	45	6+6	1
7	7	6	6	9	3	0	24	6price + 1	0
7	7	7	7	9	1	0	27	6price + 1	0
7	7	7	7	7	3	0	32	6price + 1	0
7	7	9	9	9	1	0	22	6+6	1
7	7	9	9	9	7	0	66	6+6	1
6	6	8	8	8	1	0	57	6+6	1
5	5	9	9	9	5	1	76	6+6	1
5	5	7	7	7	3	0	28	6+6	1
5	4	7	6	7	1	0	65	6price + 1	0
5	4	6	6	6	3	0	41	6price + 1	0
6	6	8	8	9	4	0	44	6price + 1	0
6	6	7	6	8	1	1	47	6+6	1
5	5	5	5	6	1	0	34	6+6	1
7	7	6	7	9	5	0	25	6price + 1	0
6	6	8	8	8	1	0	23	6price + 1	0
6	6	9	9	9	4	0	71	6+6	1
3	3	3	3	4	1	0	31	6price + 1	0
3	2	3	2	4	4	1	26	6price + 1	0
4	5	7	7	7	1	1	61	6+6	1
6	5	6	6	7	3	0	29	6+6	1
7	7	7	7	6	1	1	32	6+6	1
6	6	7	7	7	5	0	41	6price + 1	0
4	3	6	5	5	4	1	33	6+6	1
5	5	5	5	7	1	0	29	6price + 1	0
7	7	9	9	9	5	1	53	6+6	1
7	7	9	9	9	4	0	31	6price + 1	0
6	6	7	6	7	5	0	46	6+6	1
5	5	5	5	5	2	1	28	6price + 1	0
7	7	9	9	9	1	0	32	6price + 1	0
5	5	6	6	6	4	1	24	6price + 1	0
7	 	7	7	8	5	0	40	6price + 1	0
6	6	8	8	9	3	1	45	6+6	1
6	6	8	8	8	1	0	51	6+6	1
7	7	9	9	9	7	0	34	6+6	1
4	4	5	6	6	2	1	53	6price + 1	0
7	7	5	5	9	3	0	66	6price + 1	0
7	7	7	7	9	1	1	22	6+6	1
5	5	7	7	7	5	1	29	6price + 1	0
7	7	7	7	9	1	1	60	6+6	1
6	6	4	3	6	7	1	69	6+6	1
6	6	8	8	8	5	1	28	6price + 1	0
7	7	6	7	8	4	0	28	6+6	1
7	7	9	8	9	6	1	28	6+6	1
7	7	8	8	8	5	1	27	6price + 1	0
7	7	9	8	8	1	1	46	6+6	1
 	4	5	5	5	4	1	25	6price + 1	0
7	6	5	6	7	5	0	26	6+6	1
7	7	9	8	7	1	0	42	6+6	1
7	7	6	6	6	1	0	33	6price + 1	0
7	7	5	5	5	6	0	36	6+6	1
6	6	9	9	9	1	0	65	6price + 1	0
4	4	5	4	7	5	1	42	6price + 1	0
6	5	5	5	8	3	0	29	6price + 1	0
6	6	8	8	8	5	0	36	6+6	1
3	5	5	8	7	6	1	28	6price + 1	0
7	7	5	5	9	2	0	36	6+6	1
6	6	5	4	4	5	0	42	6price + 1	0
5	5	6	7	6	3	0	31	6+6	1
7	7	8	8	8	5	0	46	6price + 1	0
7	7	8	8	8	6	0	28	6+6	1
6	5	7	6	7	5	0	33	6price + 1	0
4	5	7	8	7	3	1	31	6price + 1	0
7	7	8	8	9	5	0	28	6+6	1
7	7	8	8	8	1	1	38	6price + 1	0
5	6	7	7	7	3	0	30	6price + 1	0
7	6	7	6	7	7	0	33	6price + 1	0
6	6	6	6	8	1	1	36	6+6	1
7	7	7	7	7	5	0	32	6+6	1
6	5	5	4	3	1	0	26	6price + 1	0
5	7	7	8	7	1	1	30	6+6	1
4	4	5	5	5	2	0	45	6price + 1	0
5	5	7	7	8	2	1	20	6+6	1
7	7	5	5	7	5	0	26	6price + 1	0
7	7	9	9	9	7	0	29	6+6	1
6	6	9	9	9	6	1	36	6+6	1
7	7	7	7	7	3	0	47	6price + 1	0
7	7	9	9	9	7	0	25	6+6	1
7	7	9	9	9	1	1	44	6price + 1	0
7	7	8	8	9	6	0	33	6price + 1	0
6	6	6	6	6	6	1	62	6price + 1	0
4	4	6	7	9	6	0	25	6+6	1
5	5	7	7	7	3	1	18	6+6	1
6	6	8	8	8	6	0	56	6price + 1	0
5	5	6	6	6	1	0	46	6price + 1	0
7	7	9	9	9	4	0	33	6+6	1
7	7	7	7	7	1	0	55	6+6	1
4	4	7	7	8	5	0	34	6price + 1	0
6	6	9	9	9	7	1	70	6price + 1	0
4	5	5	4	4	3	0	23	6+6	1
6	4	5	5	6	2	0	21	6+6	1
5	5	7	7	7	6	0	37	6price + 1	0
7	7	9	9	9	1	0	24	6+6	1
4	6	5	4	6	1	1	39	6price + 1	0
3	3	6	7	7	1	1	60	6+6	1
6	6	8	9	7	6	1	30	6+6	1
2	2	5	5	5	4	0	53	6price + 1	0
3	3	5	5	5	4	1	41	6price + 1	0
6	6	6	8	7	3	0	28	6+6	1
5	5	7	7	8	1	1	26	6+6	1
6	5	5	5	9	6	0	48	6price + 1	0
7	7	8	7	8	2	1	24	6+6	1
6	5	7	7	7	3	0	40	6price + 1	0
4	5	4	5	7	2	1	32	6+6	1
7	7	7	8	7	6	1	33	6price + 1	0
4	3	3	4	5	1	1	51	6+6	1
